catalog_name,product_name,product_url,product_reviews,product_stars,price,pic_url
Handmade Products,"Harry Potter Quotes & Sayings - Set of 4-8""x10"" Prints - Great Harry Potter Gifts (set #1)",https://www.amazon.com/Harry-Potter-Quotes-Sayings-Prints/dp/B076ZV1LK2/ref=zg_bs_handmade_1?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,67,4.7 out of 5 stars,$16.95,"https://images-na.ssl-images-amazon.com/images/I/A1QR5cqGc%2BL._AC_UL200_SR200,200_.jpg"
Handmade Products,"It's not really drinking alone if the dog is home stemless wine glass, 15 oz.(dog) - Laser Etched",https://www.amazon.com/really-drinking-alone-stemless-glass/dp/B01CQCPYAA/ref=zg_bs_handmade_2?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,107,4.8 out of 5 stars,$14.99,"https://images-na.ssl-images-amazon.com/images/I/61osR6-B%2BsL._AC_UL200_SR200,200_.jpg"
Handmade Products,"Personalized Name Decal Sticker - Gloss Vinyl for Yeti Cups, Windows, Laptops - Choose Font,…",https://www.amazon.com/Personalized-Name-Decal-Sticker-Windows/dp/B01JZXL1K0/ref=zg_bs_handmade_3?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,187,4.7 out of 5 stars,$6.50,"https://images-na.ssl-images-amazon.com/images/I/51G4664jqXL._AC_UL200_SR200,200_.jpg"
Handmade Products,Harry Potter. Harry Potter Glasses. Harry Potter Mom Shirt. Harry Potter T Shirt. Unisex Fit.,https://www.amazon.com/Potter-Potter-Glasses-Shirt-Unisex/dp/B078PCLV8L/ref=zg_bs_handmade_4?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,5,5.0 out of 5 stars,$23.00,"https://images-na.ssl-images-amazon.com/images/I/51bu%2BNXAjjL._AC_UL200_SR200,200_.jpg"
Handmade Products,Mickey Mouse Love. Hand Screen Printed With Eco Water Based Ink. Disney Love T Shirt. Cool T…,https://www.amazon.com/Mickey-Screen-Printed-Disney-Crew-Neck/dp/B0797LWNP1/ref=zg_bs_handmade_5?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,21,4.5 out of 5 stars,$21.99,"https://images-na.ssl-images-amazon.com/images/I/51A5ts3u9FL._AC_UL200_SR200,200_.jpg"
Handmade Products,Personalized Necklace Silver Name Plate Bar Gold Necklace Custom Silver Necklace Wedding…,https://www.amazon.com/Personalized-Necklace-Silver-Wedding-Bridesmaid/dp/B015HVACEA/ref=zg_bs_handmade_6?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,511,4.2 out of 5 stars,$17.50,"https://images-na.ssl-images-amazon.com/images/I/91Oytlu0dOL._AC_UL200_SR200,200_.jpg"
Handmade Products,Custom Leather Keychain | Personalized Keychain,https://www.amazon.com/Custom-Leather-Keychain-Personalized/dp/B06VV44YSC/ref=zg_bs_handmade_7?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,55,4.5 out of 5 stars,$14.00,"https://images-na.ssl-images-amazon.com/images/I/A1s0iFteEnL._AC_UL200_SR200,200_.jpg"
Handmade Products,"Custom Personalized Wooden Name Sign 12-55"" WIDE - CHARLOTTE Font Letters Baby Name…",https://www.amazon.com/Custom-Personalized-Wooden-Name-12-55/dp/B01G29HQ8G/ref=zg_bs_handmade_8?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,205,4.7 out of 5 stars,$14.99,"https://images-na.ssl-images-amazon.com/images/I/91YXDaCEwtL._AC_UL200_SR200,200_.jpg"
Handmade Products,The Original BenShot Bullet Rocks Glass with Real Bullet 0.308 Made in the USA,https://www.amazon.com/Original-BenShot-Bullet-Rocks-USA/dp/B01ASDYQQC/ref=zg_bs_handmade_9?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,642,4.9 out of 5 stars,$19.99,"https://images-na.ssl-images-amazon.com/images/I/61qwLu-TusL._AC_UL200_SR200,200_.jpg"
Handmade Products,"Good Day, Bad Day - Funny 11 oz Rocks Glass, Permanently Etched, Gift for Dad, Co-Worker,…",https://www.amazon.com/Good-Day-Bad-Permanently-Co-Worker/dp/B01I7F27BY/ref=zg_bs_handmade_10?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,106,4.6 out of 5 stars,$15.95,"https://images-na.ssl-images-amazon.com/images/I/71dDW7vRm8L._AC_UL200_SR200,200_.jpg"
Handmade Products,Faux Gold and Silver Tiny Nose Rings Fake Body Jewelry No Piercing Needed Set of Two,https://www.amazon.com/Silver-Rings-Jewelry-Piercing-Needed/dp/B01BDLY9J2/ref=zg_bs_handmade_11?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,160,4.5 out of 5 stars,$7.00,"https://images-na.ssl-images-amazon.com/images/I/7125lw6UB8L._AC_UL200_SR200,200_.jpg"
Handmade Products,SALE 12-36 inch Wooden Monogram Letters Vine Room Decor Nursery Decor Wooden Monogram…,https://www.amazon.com/Monogram-Letters-Nursery-monogram-hanging/dp/B016TMOHPG/ref=zg_bs_handmade_12?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,224,4.7 out of 5 stars,$14.99,"https://images-na.ssl-images-amazon.com/images/I/91yCah3f99L._AC_UL200_SR200,200_.jpg"
Handmade Products,Unicorn Birthday Cake Slime (Scented) with CHARM - 4oz,https://www.amazon.com/Unicorn-Birthday-Slime-Scented-CHARM/dp/B07CQR7Y1X/ref=zg_bs_handmade_13?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,8,4.4 out of 5 stars,$9.50,"https://images-na.ssl-images-amazon.com/images/I/71NUMrT6RpL._AC_UL200_SR200,200_.jpg"
Handmade Products,18K Gold Plated Name Necklace Personalized Sterling Silver Necklace Pendent Gifts Custom…,https://www.amazon.com/Plated-Necklace-Personalized-Sterling-Pendent/dp/B06XXDBHHJ/ref=zg_bs_handmade_14?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,51,4.2 out of 5 stars,$17.99,"https://images-na.ssl-images-amazon.com/images/I/41MJKBFvnzL._AC_UL200_SR200,200_.jpg"
Handmade Products,"First Christmas as Mr & Mrs Ornament 2018, Rustic 1st Married Christmas Ornament, First Married,…",https://www.amazon.com/Christmas-Ornament-Married-Porcelain-Ceramic/dp/B072F1CZR4/ref=zg_bs_handmade_15?_encoding=UTF8&psc=1&refRID=0B5CRQ4KAN44Q7KV9HC2,135,4.7 out of 5 stars,$18.95,"https://images-na.ssl-images-amazon.com/images/I/71nZ1SFEecL._AC_UL200_SR200,200_.jpg"
